ars,name,designation,postal_code,district,state,lat,lng,population
071375007218,Niederwerth,,56179,Mayen-Koblenz,Rheinland-Pfalz,50.39585,7.606683,1261
145220420420,Niederwiesa,,09577,Mittelsachsen,Sachsen,50.865093,13.024548,4712
092785252159,Niederwinkling,,94559,Straubing-Bogen,Bayern,48.886923,12.797548,2930
071345005060,Niederwörresbach,,55758,Birkenfeld,Rheinland-Pfalz,49.768772,7.335887,820
145215115430,Niederwürschnitz,,09399,Erzgebirgskreis,Sachsen,50.722415,12.755475,2528
053580048048,Niederzier,,52382,Düren,Nordrhein-Westfalen,50.886425,6.462259,15060
071315004055,Niederzissen,,56651,Ahrweiler,Rheinland-Pfalz,50.456945,7.221554,2729
072315008095,Niederöfflingen,,54533,Bernkastel-Wittlich,Rheinland-Pfalz,50.058553,6.88752,438
082360046046,Niefern-Öschelbronn,,75223,Enzkreis,Baden-Württemberg,48.908786,8.798354,12402
057620028028,Nieheim,Stadt,33039,Höxter,Nordrhein-Westfalen,51.804067,9.110021,6081
072325005094,Niehl,,54646,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,49.955077,6.362515,68
120695910448,Niemegk,Stadt,14823,Potsdam-Mittelmark,Brandenburg,52.076873,12.688242,2038
031595401024,Niemetal,,37127,Göttingen,Niedersachsen,51.519666,9.729226,1420
010585895113,Nienborstel,,24819,Rendsburg-Eckernförde,Schleswig-Holstein,54.136911,9.613481,598
150890235235,Nienburg (Saale),Stadt,06429,Salzlandkreis,Sachsen-Anhalt,51.836428,11.766344,5635
032560022022,Nienburg (Weser),Stadt,31582,Nienburg (Weser),Niedersachsen,52.640859,9.211648,32608
010615168076,Nienbüttel,,25596,Steinburg,Schleswig-Holstein,54.03053,9.415315,133
010535308094,Niendorf bei Berkenthin,,23919,Herzogtum Lauenburg,Schleswig-Holstein,53.702417,10.626158,184
010535313095,Niendorf/ Stecknitz,,23881,Herzogtum Lauenburg,Schleswig-Holstein,53.587228,10.609244,665
033515404018,Nienhagen,,29336,Celle,Niedersachsen,52.556183,10.104402,6420
